Thomas
---------------  Mardi 21 Mai  ---------------

Thomas#14:41 :    #Salut Pierre, j’ai vu ton post sur [inserer nom de jeux] sur le forum ! Je suis aussi un passionné de jeux vidéos, ça te dirait de jouer ensemble un de ces 4, j’ai rien a faire de mon été mdr
Moi#15:15 :    #Super, je ne pensais pas honnêtement que quelqu’un répondrait à mon message, enchanté alors ^^
Thomas#15:20 :    #Ça fait longtemps que tu joues aux jeux vidéos ?
Moi#15:23 :    #Depuis le collège, on jouait pas mal avec mon ami d’enfance, mais il a déménagé y’a pas longtemps :(
Thomas#15:25 :    #C’est pour ça que tu cherches des compagnons de jeu sur internet ?
Moi#15:30 :    #Oui en partie, je suis assez timide donc c’est plus facile de rencontrer des gens derrière un écran, et puis je n’aime pas trop sortir mdr.
Thomas#15:31 :    #Je vois... bon qu’est ce qu’on attends pour jouer, mon pseudo skype c’est [inserer pseudo], ajoute moi !

---------------  Mercredi 22 Mai  ---------------

Moi#11:12 :    #C’était marrant hier, il faut qu’on se refasse ça !
Thomas#16:25 :    #Oui c’est clair, on s’est bien amusés.
Thomas#16:26 :    #Tu sais j’ai repensé à ce que tu m’a dit hier
Moi#16:35 :    #à propos de quoi ?
Thomas#16:36 :    #Du fait que tu dises être timide et ne pas trop avoir d’amis, et j’ai une idée pour toi.
Moi#16:37 :    #Oh et quelle est cette idée ?
Thomas#16:38 :    #Je fait parti d’un groupe d’amis en ligne, on discute de technologies, c’est super interessant et je suis sur qu’ils t’adoreraient !
Moi#16:39 :    #Un groupe d’amis en ligne ? Vous jouez aux jeux vidéos tous ensemble?
Thomas#16:42 :    #Encore mieux!
Thomas#16:43 :    #On développe des outils technologique pour l’immortalité digitale, c’est cool n’est ce pas ?
Moi#16:45 :    #Wow, j’ai jamais entendu parler de ça, ça consiste en quoi ?
Thomas#16:50 :    #Eh bien l’idée part du fait que les corps humains sont imparfaits car mortels, et nous, nous travaillons sur des technologie qui permettrons de surmonter cette immortalité, t’imagine le potentiel que ça peut avoir ?
Thomas#16:53 :    #Je sais c’est un peu vague mais c’est un projet assez hum ... confidentiel alors je ne peut pas t’en dire plus tant que tu ne fait pas partie de ce groupe...
Moi#17:12 :    #Et comment on fait pour faire partie de ce groupe ?
Thomas#17:16 :    #Oh, tu es donc intéressé ? C’est super, je vais t’ajouter sur le blog, tu pourras te renseigner par toi même !
Thomas#17:18 :    #Voici le lien : [insérer un lien hypertexte vers le blog ?], tu verra il y a une petite contribution financière mais c’est pour financer les recherches, tu comprends ?
Moi#17:23 :    #Merci beaucoup, je vais me renseigner. On se refait une partie ce soir ?
Thomas#17:23 :    #Avec plaisir !

---------------  Samedi 25 Mai  ---------------

Thomas#16:00 :    #Alors, que penses-tu du blog ?
Moi#16:06 :    #Je le trouve très interessant, j’ai beaucoup appris, mais je ne suis pas très sur de vouloir rejoindre, je n’y connais pas grand chose dans ce genre de technologie... et puis ma mère m’a dit de me méfier des gens sur internet.
Thomas#16:10 :    #Tu n’as pas besoin d’y connaitre grand chose, nous t’apprendrons tout ce que nous savons ! Et puis pense à l’opportunité géniale que c’est !
Moi#16:14 :    #Je ne vois pas trop ce que j’ai à gagner à vrai dire...
Thomas#16:16 :    #Tu as tellement à gagner, le savoir, et puis te feras partie des 1ers à avoir accès à l’imortalité si tu décide de rejoindre *(argument pour le convaincre de le rejoindre)*
Moi#16:17 :    #Je ne sais pas trop...
Thomas#16:19 :    #Ça ne te prendras pas beaucoup de temps en plus, et puis tu pourras prendre des décisions, c’est super cool non ? Je serai super déçu si tu viens pas ...
Moi#16:20 :    #Bon, d’accord, je veux bien essayer alors. Je vais y réfléchir.
Thomas#16:22 :    #Génial, il y a juste un petit test d’entrée, une formalité en soit, c’est surtout pour vérifier que tes intentions sont louables mais ça, je n’en doute pas. Tu recevra un mail de la part d’un autre membre pour faire ce test.
Moi#16:22 :    #Ca marche, je te tiens au courant.

---------------  Lundi 18 Juin  ---------------

Moi#10:41 :    #Thomas, tu as vu, j’ai réussi le test, je suis maintenant membre du groupe !
Thomas#10:51 :    #Super, c’est une bonne nouvelle, maintenant j’ai quelques petites choses à t’expliquer.
Moi#10:53 :    #Je t’écoute
Thomas#10:56 :    #Eh bien il faut que tu sache que maintenant que tu es membre, pour des raisons de confidentialité nous n’avons pas le droit de communiquer en messages privés, nous le faisons quand même mais il faudra que tu sois discret sur ce sujet.
Moi#11:01 :    #D’accord c’est noté, je n’en parlerai pas.
Thomas#11:25 :    #Tu ne dois non plus communiquer avec des personnes hors du groupe, même ta famille, je sais que c’est un peu restrictif mais on ne peut pas prendre le risques que certaines informations confidentielles fuittent.
Moi#11:10 :    #Oh, donc je ne peux pas parler à ma mère et mon meilleurs ami ?
Thomas#11:12 :    #Il faut que tu évites le plus possible, ne t’inquiète pas ça ira tu peux me parler a moi je suis ton ami, ce n’est que pour quelques temps, le temps que la technologie soit terminée.
Moi#11:12 :    #D’accord...
Thomas#11:15 :    #Autre conseil, évite de trop débattre avec le chef, il n’aime pas trop ça XDD et pense bien à lire les règles du groupe, sinon ils peuvent te virer...
Moi#11:16 :    #C’est noté

---------------  Mardi 26 Juin  ---------------

Thomas#14:14 :    #J’ai vu que tu prends part à de plus en plus d’activités dans le groupe, je suis content que ça te plaise, c’est trop cool hein ^^
