Groupe des 12
Alice#21:00 :    #Salut tout le monde, je pense qu'il est temps de passer à l'action. 
Moi#21:02 :    #Oui, je suis d'accord. On ne peut pas laisser les choses en l'état plus longtemps.
Bob#21:05 :    #Je suis prêt à faire ce qu'il faut. Nous devons agir rapidement et discrètement.
Eva#21:08 :    #Exactement, mais nous devons rester prudents. Nous ne pouvons pas nous permettre d'être découverts.
Alex#21:10 :    #Je suis déjà en train de préparer le terrain. Les ressources sont en place pour notre opération.
Sophie#21:12 :    #Nous devons être sûrs que personne ne soit mis en danger. Notre objectif est de faire tomber le système, pas de causer des dommages collatéraux.
Maxime#21:15 :    #Je suis d'accord avec Sophie. Nous devons être vigilants et éviter tout dérapage.
Laura#21:18 :    #Il est crucial que chaque membre du groupe connaisse son rôle et suive le plan à la lettre.
Paul#21:20 :    #Nous avons déjà franchi le point de non-retour. Il n'y a plus de place pour l'hésitation.
Julia#21:22 :    #Tout ce que nous avons fait jusqu'à présent nous a menés à ce moment. Nous devons rester unis et déterminés.
Antoine#21:25 :    #Nous ne pouvons pas nous permettre d'échouer. Notre cause est trop importante pour cela.
Lucas#21:28 :    #Je suis prêt à me sacrifier si nécessaire. Nous devons penser au bien commun avant tout.
